Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
4/10/2000,BRITANNIA,597.35,601,607.9,572.2,578,581.45,584.62,8021
4/11/2000,BRITANNIA,581.45,572.2,588,570,575.1,577.9,572.81,9696
4/12/2000,BRITANNIA,577.9,584,584,566,567,571.2,570.5,4765
4/13/2000,BRITANNIA,571.2,555.1,575,555.1,574,571.85,568.86,7322
4/17/2000,BRITANNIA,571.85,560,560,526.1,526.1,526.1,527.5,7624
4/18/2000,BRITANNIA,526.1,532,539,491.1,506,505.5,509.69,20552
4/19/2000,BRITANNIA,505.5,539.9,539.9,510,518,521.2,519,5284
4/20/2000,BRITANNIA,521.2,525,548,503.05,534.9,530.15,518.88,7904
4/24/2000,BRITANNIA,530.15,528,528,505,509.8,505.95,509.7,6788
4/25/2000,BRITANNIA,505.95,505,520,505,520,508.95,508.56,16236
4/26/2000,BRITANNIA,508.95,519.9,524,512,518,520.7,519.86,9704
4/27/2000,BRITANNIA,520.7,511,520,507,512,510.15,511.95,4809
4/28/2000,BRITANNIA,510.15,520,520,505,509,505.45,505.72,9443
5/2/2000,BRITANNIA,505.45,502,513.95,495,505,505.45,501.62,10962
5/3/2000,BRITANNIA,505.45,492.05,505,485,503.85,495.85,492.91,7994
5/4/2000,BRITANNIA,495.85,520,546,506,536,533.3,534.8,8114
5/5/2000,BRITANNIA,533.3,540,589,528,576.05,578.6,570.25,28372
5/8/2000,BRITANNIA,578.6,590,608,580.25,585.3,590.4,593.56,19417
5/9/2000,BRITANNIA,590.4,579,595,565,587.05,589.8,583.31,9058
5/10/2000,BRITANNIA,589.8,608,608,580,590,590.15,590.07,8561
5/11/2000,BRITANNIA,590.15,584,609.95,551.5,609.95,593.8,581.55,15755
5/12/2000,BRITANNIA,593.8,595,600,565,571,570.15,579.58,14842
5/15/2000,BRITANNIA,570.15,555,558,525.05,541,540.15,540.77,20010
5/16/2000,BRITANNIA,540.15,531,545,505.15,516,515.9,534.61,28934
5/17/2000,BRITANNIA,515.9,530,540,488,513.75,512,507.46,24727
5/18/2000,BRITANNIA,512,513.75,514.95,502,510.75,510.7,508.68,2875
5/19/2000,BRITANNIA,510.7,491,511.95,485,498,501.85,501.28,5496
5/22/2000,BRITANNIA,501.85,481.1,502.7,481.1,499.9,499.05,497.24,4529
5/23/2000,BRITANNIA,499.05,500,504.8,493,500,499.65,499.54,22684
5/24/2000,BRITANNIA,499.65,495,507.9,490,504.9,501.75,500.85,5753
5/25/2000,BRITANNIA,501.75,501,535,501,509.05,509.9,507.47,10167
5/26/2000,BRITANNIA,509.9,510,550.7,504.2,550,549.55,522.12,30464
5/29/2000,BRITANNIA,549.55,559,590,550,586.25,584.2,575.23,23693
5/30/2000,BRITANNIA,584.2,594.95,605,572,595,598.4,591.06,17774
5/31/2000,BRITANNIA,598.4,600,635,592.5,615.05,620.25,616.64,24362
6/1/2000,BRITANNIA,620.25,600,614.3,600,607,607.15,610.09,9868
6/2/2000,BRITANNIA,607.15,600,627,590,622,619.95,615.22,11715
