Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
1/14/2003,DRREDDY,982.7,977,985,966,978,977.55,974.35,92389
1/15/2003,DRREDDY,977.55,976,1001.6,976,989,992.6,990.97,170141
1/16/2003,DRREDDY,992.6,990,1002.9,985.05,1000,1000.65,998.08,194846
1/17/2003,DRREDDY,1000.65,998.75,999.9,978.1,979,980.6,983.71,146655
1/20/2003,DRREDDY,980.6,975,975,959.1,961,961,965.15,231517
1/21/2003,DRREDDY,961,961.5,967.5,952.2,960,956.95,959.57,71628
1/22/2003,DRREDDY,956.95,958.1,963.4,947.5,952,948.55,954.36,78735
1/23/2003,DRREDDY,948.55,948.9,948.9,883.8,905,904.05,914.75,493753
1/24/2003,DRREDDY,904.05,904,926,900,914.95,920.1,916.66,284394
1/27/2003,DRREDDY,920.1,895,922.45,883,900.1,901.2,893.31,262710
1/28/2003,DRREDDY,901.2,895,900,867.75,893,895.65,889.03,276312
1/29/2003,DRREDDY,895.65,870,914.75,855,903,904.25,893.06,522654
1/30/2003,DRREDDY,904.25,890.3,904.5,885.05,904.5,899.95,895.63,108764
1/31/2003,DRREDDY,899.95,905,908,883.15,903.05,903.7,900.66,99183
2/3/2003,DRREDDY,903.7,901.9,916.9,901,910,915.4,912.39,53830
2/4/2003,DRREDDY,915.4,914.8,917,904,906.6,905.15,908.89,74716
2/5/2003,DRREDDY,905.15,892,929,882,915.05,917,916.35,202240
2/6/2003,DRREDDY,917,905,915.5,817.05,915,914.8,912.4,41469
2/7/2003,DRREDDY,914.8,918.1,935,918,918,921.45,926.29,102813
2/10/2003,DRREDDY,921.45,910,918.5,903.25,903.25,906.55,908.81,63216
2/11/2003,DRREDDY,906.55,903.1,909.9,900,906,907.15,906.02,62563
2/12/2003,DRREDDY,907.15,928,928,898.5,905,905.1,904.49,35194
2/14/2003,DRREDDY,905.1,904,924.65,898.2,901.65,903.25,906.99,71467
2/17/2003,DRREDDY,903.25,906,910,893.05,900.1,900.65,900.53,92573
2/18/2003,DRREDDY,900.65,950,950,897,901,900.05,900.16,50611
2/19/2003,DRREDDY,900.05,898,901.95,888.05,895.1,899.15,894.51,142937
2/20/2003,DRREDDY,899.15,901.1,905.05,883.05,886.05,888.45,890.21,129149
2/21/2003,DRREDDY,888.45,890,890,847.9,874.5,872.1,861.97,374377
